task,group,icl_index,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10
singular-plural,train,10,25.7258,-8.34228,10.4033,4.93666,11.7008,11.1764,6.30671,-20.1159,11.7368,2.41539
antonym,test,1,7.12923,-2.85914,-0.19064,-1.19702,-0.434645,-2.80465,3.5067,12.3136,-1.76186,2.92171
antonym,test,2,10.2509,-3.29045,1.3909,-0.858122,2.90806,-1.81126,4.57068,11.8165,-3.58063,3.89885
antonym,test,3,12.8184,-4.23119,2.08511,0.681931,4.99056,-2.18422,4.96063,11.4608,-4.8172,4.18228
antonym,test,4,13.817,-4.01914,2.30446,1.2681,5.51015,-2.16585,4.71692,10.7244,-5.14238,4.64878
antonym,test,5,14.8709,-3.94469,2.31561,1.421,6.58142,-1.86317,4.9056,10.4196,-5.11991,4.52042
antonym,test,6,15.0157,-3.86028,2.04965,1.47931,6.17081,-1.88651,4.65766,9.7967,-4.8363,4.33019
antonym,test,7,15.0298,-3.45584,2.45128,1.33176,6.43076,-1.95496,4.91717,9.6498,-4.88396,4.38985
antonym,test,8,15.4478,-3.351,2.339,1.07477,6.43874,-1.77154,4.91979,9.43982,-4.70816,4.04154
antonym,test,9,15.642,-3.63615,2.6562,1.14348,6.89946,-1.63003,4.9987,9.06116,-4.78104,4.07291
